[14:33:40] [INFO] [main] 토큰 발급 중...
[14:33:44] [INFO] [main] 기존 보유 종목 포지션 복원 중...
[14:51:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:51:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:52:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:53:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:54:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
